"コントロールカラム","プロダクトカテゴリ","パス名"
"","1813","ダイエット、健康 > 衛生日用品 > 爪切り"
"","1925","ダイエット、健康 > 健康管理、計測計 > 体重計"
"","1925","家電 > 健康家電 > 体重計"
"","2597","アウトドア、釣り、旅行用品 > アウトドア、キャンプ、登山 > クーラーボックス、保冷剤 > クーラーボックス"
"","3613","家具、インテリア > カーペット、ラグ、マット > カーペット、ラグ"
"","3614","家具、インテリア > カーペット、ラグ、マット > その他カーペット、ラグ、マット"
"","3744","キッチン、日用品、文具 > キッチン、台所用品 > ラップ、ホイル、消耗雑貨 > ペーパータオル、キッチンペーパー"
"","3917","DIY、工具 > 道具、工具 > 電動工具 > ドリル、ドライバー、レンチ > その他電動ドリル、ドライバー、レンチ"
"","3922","DIY、工具 > 道具、工具 > 塗装 > 刷毛"
"","3924","DIY、工具 > 材料、部品 > 塗料、塗装 > ペンキ、塗料"
"","3926","DIY、工具 > 道具、工具 > 塗装 > ローラー"
"","3929","DIY、工具 > 道具、工具 > ドライバー、レンチ > スパナ、レンチ > その他スパナ、レンチ"
"","3931","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > ニッパー"
"","3946","DIY、工具 > 材料、部品 > 金物、部品 > 針金、ワイヤー"
"","3969","キッチン、日用品、文具 > 掃除用具 > 洗剤 > 多目的用洗剤"
"","3973","キッチン、日用品、文具 > 掃除用具 > バケツ、ポリバケツ"
"","3976","キッチン、日用品、文具 > 掃除用具 > その他掃除用具"
"","4043","DIY、工具 > 住宅設備、エクステリア > 庭、ガーデン > ガーデンファニチャー > その他ガーデンファニチャ"
"","4043","花、ガーデニング > ガーデンファニチャー > その他ガーデンファニチャー"
"","4233","キッチン、日用品、文具 > 防災、防犯、セーフティ > その他防災、防犯、セーフティ"
"","35646","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > コイルチューブ"
"","35649","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > ヒューズ"
"","35650","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > スイッチ"
"","35652","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > その他電設資材"
"","35658","DIY、工具 > 材料、部品 > 金物、部品 > 建築物用金具 > 棚受け"
"","35705","DIY、工具 > 業務、産業用 > 建築、建設用 > ブルーシート"
"","35716","DIY、工具 > 業務、産業用 > 建築、建設用 > 作業灯 > 非常灯"
"","35719","DIY、工具 > 業務、産業用 > 建築、建設用 > 安全ミラー、カーブミラー"
"","35729","DIY、工具 > 業務、産業用 > 建築、建設用 > 足場、足場材 > その他"
"","35730","DIY、工具 > 業務、産業用 > 建築、建設用 > 安全標識、看板 > 工事看板"
"","35754","DIY、工具 > 業務、産業用 > 製造、工場用 > 静電気対策、帯電防止 > 除電器"
"","35757","DIY、工具 > 業務、産業用 > 製造、工場用 > 静電気対策、帯電防止 > その他工場用静電気、帯電対策用品"
"","35765","DIY、工具 > 業務、産業用 > 製造、工場用 > 油圧機器 > その他"
"","35778","DIY、工具 > 業務、産業用 > 研究、開発用 > 容器 > 洗浄瓶"
"","35786","DIY、工具 > 業務、産業用 > 研究、開発用 > 容器 > その他実験用容器"
"","35794","DIY、工具 > 業務、産業用 > 研究、開発用 > 道具、材料 > デシケーター"
"","35796","DIY、工具 > 業務、産業用 > 研究、開発用 > 道具、材料 > ピンセット、実験用はさみ"
"","35803","DIY、工具 > 業務、産業用 > 研究、開発用 > 道具、材料 > その他研究、実験道具"
"","35816","DIY、工具 > 業務、産業用 > 研究、開発用 > 撹拌、粉砕用品 > 攪拌棒"
"","35832","DIY、工具 > 業務、産業用 > 研究、開発用 > 設備 > 保管庫"
"","35854","DIY、工具 > 業務、産業用 > 研究、開発用 > クリーンルーム用品 > その他クリーンルーム用品"
"","41195","DIY、工具 > 業務、産業用 > 製造、工場用 > FA、メカニカル部品 > 制御部品 > 表示灯"
"","41201","DIY、工具 > 業務、産業用 > 製造、工場用 > FA、メカニカル部品 > ケーブル、接続部品"
"","43311","キッチン、日用品、文具 > 洗濯用品 > 洗剤 > 液体洗剤"
"","43334","ダイエット、健康 > 衛生日用品 > ハンドソープ"
"","44155","ペット用品、生き物 > 猫用品 > トイレ用品 > トイレスコップ、砂取り用品"
"","34959","DIY、工具 > 材料、部品 > 梱包、テープ > テープ > 養生テープ"
"","34960","DIY、工具 > 材料、部品 > 梱包、テープ > テープ > マスキングテープ"
"","34960","キッチン、日用品、文具 > 文具、ステーショナリー > のり、テープ > マスキングテープ"
"","34966","DIY、工具 > 材料、部品 > 梱包、テープ > テープ > ラインテープ"
"","34972","DIY、工具 > 材料、部品 > 梱包、テープ > テープ > その他梱包用テープ"
"","34973","DIY、工具 > 材料、部品 > 梱包、テープ > バンド"
"","34977","DIY、工具 > 材料、部品 > 梱包、テープ > 結束バンド、結束具"
"","35031","DIY、工具 > 住宅設備、エクステリア > 水回り、配管 > 給水、排水ポンプ"
"","35043","DIY、工具 > 住宅設備、エクステリア > 水回り、配管 > その他配管、水回り部品"
"","35091","DIY、工具 > 住宅設備、エクステリア > ドア、扉、板戸、障子 > 板戸、障子 > 戸車、雨戸戸車"
"","35190","DIY、工具 > 住宅設備、エクステリア > 屋外照明 > 門灯、ガーデンライト > その他門灯、ガーデンライト"
"","35203","DIY、工具 > 住宅設備、エクステリア > 動物避け用品 > 虫除け"
"","35371","DIY、工具 > オフィス用品 > 事務機器 > その他"
"","35380","DIY、工具 > 道具、工具 > 計測、検査 > ノギス、マイクロメーター"
"","35384","DIY、工具 > 道具、工具 > 計測、検査 > 定盤"
"","35387","DIY、工具 > 道具、工具 > 計測、検査 > メジャー、距離測定 > 直尺"
"","35388","DIY、工具 > 道具、工具 > 計測、検査 > メジャー、距離測定 > 曲尺"
"","35391","DIY、工具 > 道具、工具 > 計測、検査 > メジャー、距離測定 > その他メジャー、距離測定道具"
"","35398","DIY、工具 > 道具、工具 > 計測、検査 > 流量計"
"","35407","DIY、工具 > 道具、工具 > 計測、検査 > 光学機器 > ルーペ、拡大鏡"
"","35411","DIY、工具 > 道具、工具 > 計測、検査 > 光学機器 > その他光学測量道具"
"","35439","DIY、工具 > 業務、産業用 > 制服、作業服 > 作業用手袋 > 使い捨て手袋"
"","35473","DIY、工具 > 業務、産業用 > 制服、作業服 > 作業靴、安全靴 > 長靴"
"","35493","DIY、工具 > 業務、産業用 > 制服、作業服 > メガネ > 安全メガネ、サングラス"
"","35494","DIY、工具 > 業務、産業用 > 制服、作業服 > メガネ > 安全ゴーグル"
"","35497","DIY、工具 > 業務、産業用 > 制服、作業服 > 作業用具、アクセサリー > 安全ヘルメット"
"","35498","DIY、工具 > 業務、産業用 > 制服、作業服 > 作業用具、アクセサリー > 安全ベスト"
"","35500","DIY、工具 > 業務、産業用 > 制服、作業服 > 作業用具、アクセサリー > 安全ベルト"
"","35502","DIY、工具 > 業務、産業用 > 制服、作業服 > 作業用具、アクセサリー > 落下防止ワイヤー"
"","35503","DIY、工具 > 業務、産業用 > 制服、作業服 > 作業用具、アクセサリー > 耳栓、イヤーマフ"
"","35504","DIY、工具 > 業務、産業用 > 制服、作業服 > 作業用具、アクセサリー > その他作業用具、アクセサリー"
"","35511","DIY、工具 > 道具、工具 > 脚立、はしご、足場 > 作業台、ワークテーブル"
"","35512","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > 運搬車"
"","35514","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > リフト台車"
"","35515","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > カゴ台車"
"","35517","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > ボンベ台車"
"","35519","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > 平台車"
"","35520","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > 一輪車"
"","35523","DIY、工具 > 業務、産業用 > 物流、運搬用 > キャスター > ストッパー付"
"","35525","DIY、工具 > 業務、産業用 > 物流、運搬用 > キャスター > アングル式"
"","35526","DIY、工具 > 業務、産業用 > 物流、運搬用 > キャスター > ねじ込み式キャスター"
"","35532","DIY、工具 > 業務、産業用 > 物流、運搬用 > キャスター > 静電気対策キャスター"
"","35534","DIY、工具 > 業務、産業用 > 物流、運搬用 > キャスター > その他物流、運搬用キャスター"
"","35535","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > ワゴン、ツールワゴン"
"","35536","DIY、工具 > 業務、産業用 > 物流、運搬用 > コンテナ、パレット"
"","35539","DIY、工具 > 業務、産業用 > 物流、運搬用 > 回転台"
"","35542","DIY、工具 > 業務、産業用 > 物流、運搬用 > チェーンブロック、ウインチ"
"","35543","DIY、工具 > 業務、産業用 > 物流、運搬用 > コンベヤ、ベルトコンベヤ"
"","35546","DIY、工具 > 業務、産業用 > 物流、運搬用 > その他物流、運搬用品"
"","35556","DIY、工具 > 材料、部品 > 金物、部品 > 金網"
"","35558","DIY、工具 > 材料、部品 > 金物、部品 > ねじ、ビス > 小ねじ"
"","35560","DIY、工具 > 材料、部品 > 金物、部品 > ねじ、ビス > 六角穴付き止めねじ"
"","35561","DIY、工具 > 材料、部品 > 金物、部品 > ねじ、ビス > タッピングねじ"
"","35563","DIY、工具 > 材料、部品 > 金物、部品 > ねじ、ビス > ドリルねじ"
"","35566","DIY、工具 > 材料、部品 > 金物、部品 > ねじ、ビス > その他ねじ、ビス"
"","35575","DIY、工具 > 材料、部品 > 金物、部品 > 釘 > 釘"
"","35585","DIY、工具 > 材料、部品 > 金物、部品 > ボルト > 六角ボルト"
"","35586","DIY、工具 > 材料、部品 > 金物、部品 > ボルト > 六角穴付ボルト"
"","35592","DIY、工具 > 材料、部品 > 金物、部品 > ボルト > 蝶ボルト"
"","35606","DIY、工具 > 材料、部品 > 金物、部品 > ナット > ベアリングナット"
"","35611","DIY、工具 > 材料、部品 > 金物、部品 > ナット > その他ナット"
"","35618","DIY、工具 > 材料、部品 > 金物、部品 > ワッシャー、座金 > その他ワッシャー、座金"
"","35620","DIY、工具 > 材料、部品 > 金物、部品 > 建築物用金具 > 住宅用接合金物 > 吊金具"
"","35621","DIY、工具 > 材料、部品 > 金物、部品 > 建築物用金具 > 住宅用接合金物 > アンカー"
"","35622","DIY、工具 > 材料、部品 > 金物、部品 > 建築物用金具 > 住宅用接合金物 > その他接合金物"
"","35630","DIY、工具 > 材料、部品 > 金物、部品 > 蝶番、丁番、ヒンジ > その他蝶番、丁番、ヒンジ"
"","35633","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > モジュラージャック"
"","35637","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > 端子、テレビ端子"
"","35641","DIY、工具 > 材料、部品 > 材料、資材 > 電設資材 > 電源プラグ、コネクター"
"","4499","キッチン、日用品、文具 > 文具、ステーショナリー > のり、テープ > ボンド"
"","4516","キッチン、日用品、文具 > 文具、ステーショナリー > 事務用品 > マグネット > マグネットシート"
"","4520","キッチン、日用品、文具 > 文具、ステーショナリー > 事務用品 > その他事務用品"
"","4648","DIY、工具 > 道具、工具 > 計測、検査 > その他測量用品、測量機器"
"","4891","DIY、工具 > 道具、工具 > 脚立、はしご、足場 > その他脚立、はしご"
"","4892","DIY、工具 > 材料、部品 > 金物、部品 > その他金物、部品"
"","4893","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > リヤカー"
"","4894","DIY、工具 > 業務、産業用 > 物流、運搬用 > 台車、カート > その他台車、カート"
"","4895","DIY、工具 > 業務、産業用 > 飲食、厨房用 > 陳列 > 什器、ラック"
"","5238","DIY、工具 > 業務、産業用 > 農業用 > 草刈機、刈払機 > 芝刈機"
"","5238","花、ガーデニング > ガーデニング、園芸用品 > 家庭用草刈り機、芝刈り機 > その他家庭用草刈り機、芝刈り機"
"","5239","花、ガーデニング > ガーデニング、園芸用品 > 散水器具 > 散水ホース、リール"
"","14044","車、バイク、自転車 > 自動車 > セーフティー用品 > アルコールチェッカー"
"","21928","車、バイク、自転車 > 自動車 > 車用工具、修理、ガレージ用品 > ガレージ用品 > ジャッキ"
"","22037","車、バイク、自転車 > 自動車 > 洗車、ケミカル用品 > ケミカル用品 > 潤滑油、作動油"
"","22839","DIY、工具 > 業務、産業用 > 農業用 > 農具 > 農具その他"
"","22839","花、ガーデニング > 農具、農業資材 > その他農具、農業資材"
"","22858","DIY、工具 > 業務、産業用 > 農業用 > 農業資材 > 温室、ビニールハウス > 換気扇、循環扇"
"","22858","花、ガーデニング > 農具、農業資材 > 温室、ビニールハウス > 換気扇、循環扇"
"","23425","花、ガーデニング > ガーデニング、園芸用品 > 人工芝"
"","23425","花、ガーデニング > 造花、フェイクグリーン > 人工芝"
"","31697","家電 > 冷暖房器具、空調家電 > 除湿機 > 除湿機（本体）"
"","31702","家電 > 冷暖房器具、空調家電 > 加湿器 > 加湿器（本体）"
"","31709","家電 > 冷暖房器具、空調家電 > 扇風機 > 扇風機（本体）"
"","32682","家具、インテリア > オフィス家具 > オフィスチェア > パイプ椅子"
"","33067","家具、インテリア > オフィス家具 > オフィス収納 > オープンラック、物品棚"
"","34559","DIY、工具 > 材料、部品 > 材料、資材 > 木材 > 板材"
"","34565","DIY、工具 > 材料、部品 > 材料、資材 > 木材 > その他木材"
"","34579","DIY、工具 > 材料、部品 > 材料、資材 > 樹脂、プラスチック > その他樹脂、プラスチック"
"","34588","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > タップ"
"","34589","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > エンドミル"
"","34590","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > チップ"
"","34592","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > ツーリング"
"","34593","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > リーマー"
"","34594","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > 面取り、バリ取り"
"","34595","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > バイト工具"
"","34598","DIY、工具 > 道具、工具 > 電動工具 > 切断工具、切断機 > ホールソー、ホールカッター"
"","34601","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > 切削工具"
"","34602","DIY、工具 > 道具、工具 > 電動工具 > ドリル、ドライバー、レンチ > ドリル、ドライバー、レンチセット"
"","34604","DIY、工具 > 道具、工具 > 電動工具 > ドリル、ドライバー、レンチ > インパクトレンチ"
"","34607","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > ドリル、部品 > 振動、コアドリル"
"","34607","DIY、工具 > 道具、工具 > 電動工具 > ドリル、ドライバー、レンチ > 振動、コアドリル"
"","34616","DIY、工具 > 道具、工具 > 電動工具 > 研磨機 > グラインダー > その他電動グラインダー"
"","34617","DIY、工具 > 道具、工具 > 電動工具 > 研磨機 > サンダー、ベルトサンダー"
"","34642","DIY、工具 > 道具、工具 > 電動工具 > エアーツール > コンプレッサー"
"","34659","DIY、工具 > 道具、工具 > 電動工具 > 発電機 > インバーター発電機"
"","34666","DIY、工具 > 道具、工具 > 電動工具 > 発電機 > 太陽光発電、ソーラーパネル"
"","34668","DIY、工具 > 道具、工具 > 電動工具 > 発電機 > その他発電機"
"","34669","DIY、工具 > 道具、工具 > 電動工具 > 変圧器"
"","34675","DIY、工具 > 道具、工具 > 電動工具 > コードリール、延長コード"
"","34693","DIY、工具 > 業務、産業用 > 製造、工場用 > 工作機械 > その他"
"","34694","DIY、工具 > 材料、部品 > 研磨、潤滑剤 > 潤滑油"
"","34696","DIY、工具 > 道具、工具 > 研磨、潤滑 > グリス"
"","34697","DIY、工具 > 道具、工具 > 研磨、潤滑 > グリスガン"
"","34721","DIY、工具 > 道具、工具 > 研磨、潤滑 > その他研磨、潤滑工具"
"","34773","DIY、工具 > 道具、工具 > 塗装 > 養生シート、養生ボード"
"","34782","DIY、工具 > 道具、工具 > 工具セット"
"","34785","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > カッター > ケーブルカッター"
"","34794","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > カッター > その他カッター"
"","34798","DIY、工具 > 道具、工具 > ドライバー、レンチ > ドライバー > インパクトドライバー"
"","34814","DIY、工具 > 道具、工具 > ドライバー、レンチ > ドライバー > ドライバービット"
"","34828","DIY、工具 > 道具、工具 > ドライバー、レンチ > スパナ、レンチ > モンキースパナ、レンチ"
"","34876","DIY、工具 > 道具、工具 > バイス、クランプ > バイス、万力"
"","34882","DIY、工具 > 道具、工具 > バイス、クランプ > ハンドプレス機"
"","34883","DIY、工具 > 道具、工具 > バイス、クランプ > その他バイス、クランプ"
"","34890","DIY、工具 > 業務、産業用 > 製造、工場用 > 溶接、接着 > はんだ > はんだ除去"
"","34893","DIY、工具 > 業務、産業用 > 製造、工場用 > 溶接、接着 > はんだ > その他"
"","34905","DIY、工具 > 住宅設備、エクステリア > 水回り、配管 > 配管工具"
"","34905","DIY、工具 > 道具、工具 > 特殊工具 > 配管工具"
"","34906","DIY、工具 > 道具、工具 > 特殊工具 > 防爆工具"
"","34907","DIY、工具 > 道具、工具 > 特殊工具 > 絶縁工具"
"","34929","DIY、工具 > 道具、工具 > 切削、切断、穴あけ > 穴あけ工具 > ポンチ、刻印"
